month,day,sched_dep_time,sched_arr_time,carrier,flight,tailnum,origin,dest,air_time,distance
12,9,2215,2325,EV,4565,N11539,EWR,SYR,37,195
12,9,2225,2341,EV,4101,N14153,EWR,BUF,54,282
12,9,2115,2348,EV,3810,N12163,EWR,ATL,129,746
12,9,2359,445,B6,745,N615JB,JFK,PSE,197,1617
12,9,500,651,US,1895,N562UW,EWR,CLT,87,529
12,9,515,814,UA,1012,N35204,EWR,IAH,221,1400
12,9,540,850,AA,2243,N618AA,JFK,MIA,155,1089
12,9,550,1027,B6,939,N503JB,JFK,BQN,192,1576
12,9,545,832,UA,559,N569UA,LGA,IAH,206,1416
12,9,600,658,US,1833,N950UW,LGA,PHL,40,96
12,9,600,856,B6,371,N746JB,LGA,FLL,156,1076
12,9,600,701,US,2134,N711UW,LGA,BOS,31,184
12,9,600,855,B6,605,N509JB,EWR,FLL,155,1065
12,9,600,755,DL,731,N366NB,LGA,DTW,94,502
12,9,600,825,WN,1716,N921WN,LGA,ATL,138,762
12,9,600,933,UA,303,N595UA,JFK,SFO,354,2586
12,9,600,659,US,2167,N705UW,LGA,DCA,50,214
12,9,600,905,AA,1175,N3JFAA,LGA,MIA,158,1096
12,9,600,846,B6,583,N613JB,JFK,MCO,140,944
12,9,600,745,AA,301,N3DYAA,LGA,ORD,143,733
12,9,603,800,9E,4268,N297PQ,EWR,DTW,94,488
12,9,611,1055,B6,1403,N605JB,JFK,SJU,196,1598
12,9,610,820,EV,4714,N14543,EWR,CLT,99,529
12,9,611,912,B6,601,N603JB,JFK,FLL,154,1069
12,9,605,730,WN,485,N775SW,EWR,MDW,127,711
12,9,610,915,AA,1205,N5DTAA,EWR,MIA,156,1085
12,9,615,845,MQ,3550,N531MQ,LGA,ATL,134,762
12,9,615,818,US,1989,N170US,EWR,CLT,94,529
12,9,615,935,WN,16,N247WN,EWR,HOU,237,1411
12,9,559,735,UA,1153,N38257,EWR,ORD,139,719
12,9,615,817,US,840,N564UW,JFK,CLT,95,541
12,9,625,735,B6,2180,N355JB,EWR,BOS,34,200
12,9,620,826,9E,4270,N292PQ,EWR,MSP,166,1008
12,9,615,915,UA,288,N504UA,EWR,FLL,165,1065
12,9,600,925,UA,300,N534UA,EWR,SFO,359,2565
12,9,630,842,US,2085,N196UW,LGA,CLT,93,544
12,9,630,815,AA,303,N3EVAA,LGA,ORD,137,733
12,9,630,910,B6,1611,N594JB,JFK,LAS,345,2248
12,9,630,830,MQ,3599,N520MQ,LGA,MSP,170,1020
12,9,630,919,B6,1099,N635JB,LGA,MCO,141,950
12,9,630,852,EV,4122,N14953,EWR,SDF,125,642
12,9,635,929,B6,525,N565JB,JFK,TPA,157,1005
12,9,630,935,UA,1454,N16701,LGA,IAH,236,1416
12,9,613,834,EV,4393,N11140,EWR,IND,114,645
12,9,630,830,MQ,2810,N9EAMQ,LGA,DTW,93,502
12,9,625,750,WN,1360,N8326F,LGA,MDW,129,725
12,9,630,900,DL,575,N347NB,EWR,ATL,130,746
12,9,633,847,EV,4161,N17196,EWR,MSP,173,1008
12,9,640,1003,UA,398,N568UA,JFK,LAX,NA,2475
12,9,630,938,B6,929,N584JB,JFK,RSW,195,1074
12,9,635,943,UA,1299,N76503,EWR,RSW,173,1068
12,9,640,805,WN,1121,N235WN,LGA,MKE,131,738
12,9,635,930,UA,1148,N18223,EWR,TPA,160,997
12,9,645,907,B6,675,N809JB,JFK,MSY,198,1182
12,9,630,742,UA,371,N846UA,EWR,BOS,33,200
12,9,645,857,9E,3769,N8982A,EWR,CVG,113,569
12,9,630,923,UA,1627,N73270,EWR,PBI,151,1023
12,9,614,800,EV,4334,N29917,EWR,CMH,90,463
12,9,645,955,AA,1107,N3JBAA,LGA,DFW,227,1389
12,9,650,955,AA,2493,N5BRAA,JFK,MCO,150,944
12,9,600,835,DL,904,N375NC,LGA,ATL,130,762
12,9,655,804,B6,318,N358JB,JFK,BOS,30,187
12,9,650,916,UA,1162,N18220,EWR,DEN,252,1605
12,9,700,1040,DL,430,N624AG,JFK,SFO,359,2586
12,9,656,1145,DL,2275,N3746H,JFK,SJU,192,1598
12,9,700,808,US,2136,N959UW,LGA,BOS,32,184
12,9,700,1011,DL,1879,N327NB,LGA,FLL,169,1076
12,9,700,959,DL,2285,N301NB,LGA,MCO,162,950
12,9,700,850,AA,305,N4XGAA,LGA,ORD,139,733
12,9,700,1015,B6,23,N648JB,JFK,LAX,365,2475
12,9,700,855,EV,4099,N15980,EWR,STL,164,872
12,9,700,809,US,2169,N763US,LGA,DCA,49,214
12,9,700,1030,DL,2421,N704X,JFK,SLC,312,1990
12,9,659,941,DL,1547,N386DA,LGA,ATL,133,762
12,9,700,845,B6,905,N768JB,JFK,ORD,143,740
12,9,700,1035,DL,472,N722TW,JFK,LAX,357,2475
12,9,705,1015,AS,15,N413AS,EWR,SEA,341,2402
12,9,705,1156,B6,3,N569JB,JFK,SJU,195,1598
12,9,700,837,UA,1190,N13718,LGA,ORD,136,733
12,9,710,1025,AA,2279,N3GMAA,LGA,MIA,163,1096
12,9,700,1025,VX,399,N629VA,JFK,LAX,362,2475
12,9,650,1022,UA,1212,N47414,EWR,SFO,368,2565
12,9,601,716,EV,3817,N13566,EWR,BUF,56,282
12,9,705,850,WN,1352,N373SW,EWR,STL,161,872
12,9,638,931,UA,478,N442UA,EWR,MCO,144,937
12,9,710,840,B6,2702,N793JB,JFK,BUF,63,301
12,9,715,940,MQ,3547,N534MQ,LGA,XNA,196,1147
12,9,639,951,UA,1439,N37434,EWR,LAX,358,2454
12,9,707,1013,UA,1077,N27205,EWR,MIA,159,1085
12,9,715,918,DL,831,N330NW,LGA,DTW,99,502
12,9,710,844,EV,4522,N26549,EWR,BNA,148,748
12,9,635,803,EV,5791,N18102,EWR,PIT,72,319
12,9,715,905,WN,2606,N747SA,LGA,STL,161,888
12,9,725,1002,B6,677,N375JB,JFK,JAX,136,828
12,9,637,814,EV,4424,N34111,EWR,RDU,75,416
12,9,720,832,UA,424,N855UA,EWR,BOS,45,200
12,9,730,1040,AA,29,N3KMAA,LGA,PBI,154,1035
12,9,729,1020,B6,461,N520JB,LGA,PBI,146,1035
